h3_id,suburb,month,sr_count
88ad3685adfffff,SUNNYDALE,Oct 2020,101
88ad3670e7fffff,SAXONSEA,Aug 2020,101
88ad36c49bfffff,WESBANK,Nov 2020,101
88ad36d425fffff,NOMZAMO,Nov 2020,100
88ad36c6b3fffff,MFULENI,Sep 2020,100
88ad36118dfffff,LEONSDALE,Feb 2020,100
88ad361149fffff,LEIDEN,Dec 2020,100
88ad3610e3fffff,LANGA,Sep 2020,99
88ad361001fffff,GUGULETU,Sep 2020,99
88ad3610e1fffff,LANGA,Oct 2020,99
88ad3610e1fffff,LANGA,Jan 2020,99
88ad36c6adfffff,EERSTERIVIER,Oct 2020,99
88ad36c6b3fffff,MFULENI,Feb 2020,98
88ad3610e7fffff,LANGA,Dec 2020,98
88ad3610e3fffff,LANGA,Mar 2020,98
88ad3612a9fffff,HANOVER PARK,Feb 2020,97
88ad361127fffff,BELLVILLE SOUTH,Jan 2020,97
88ad368d31fffff,LOTUS RIVER,Dec 2020,97
88ad36c49bfffff,WESBANK,Oct 2020,96
88ad3656d5fffff,GREENVILLE GARDEN CITY,Feb 2020,96
88ad36c6abfffff,FOREST VILLAGE,Dec 2020,96
88ad3612a9fffff,HANOVER PARK,Aug 2020,96
88ad3689bbfffff,BEACON VALLEY,Mar 2020,96
88ad361111fffff,UITSIG,Jan 2020,96
88ad36c6adfffff,EERSTERIVIER,Dec 2020,96
88ad3612a9fffff,HANOVER PARK,Jan 2020,96
88ad361769fffff,CLAREMONT,Nov 2020,95
88ad3689d7fffff,TAFELSIG,Jan 2020,95
88ad3670e1fffff,AVONDALE - WESFLEUR,Nov 2020,95
88ad361033fffff,BONTEHEUWEL,Dec 2020,95
88ad360251fffff,BROOKLYN,Nov 2020,95
88ad361207fffff,PHILIPPI,Sep 2020,94
88ad3610e1fffff,LANGA,Feb 2020,94
88ad3610e1fffff,LANGA,Nov 2020,94
88ad361519fffff,CAPE TOWN CITY CENTRE,Jan 2020,94
88ad361133fffff,RAVENSMEAD,Jan 2020,94
88ad36c6a5fffff,EERSTERIVIER,Oct 2020,94
88ad36103bfffff,BONTEHEUWEL,Jul 2020,94
88ad361145fffff,THE HAGUE,Dec 2020,94
88ad36118bfffff,RUYTERWACHT,Jan 2020,94
88ad361223fffff,PHILIPPI,Oct 2020,93
88ad36c6a5fffff,EERSTERIVIER,Dec 2020,93
88ad36893bfffff,KUYASA,Aug 2020,93
88ad36d425fffff,NOMZAMO,Oct 2020,93
88ad361b37fffff,WALLACEDENE,Nov 2020,93
88ad3689b1fffff,BEACON VALLEY,Oct 2020,93
88ad36022dfffff,SUMMER GREENS,Mar 2020,93
88ad361b37fffff,WALLACEDENE,Aug 2020,93
88ad36118bfffff,RUYTERWACHT,Nov 2020,92
88ad36893bfffff,KUYASA,Oct 2020,92
88ad361051fffff,MANENBERG,Jan 2020,92
88ad36118dfffff,LEONSDALE,Mar 2020,92
88ad361051fffff,MANENBERG,Mar 2020,92
88ad361133fffff,RAVENSMEAD,Aug 2020,92
88ad360245fffff,WINDERMERE,Dec 2020,92
88ad361547fffff,WOODSTOCK,Aug 2020,92
88ad368989fffff,TAFELSIG,Jan 2020,92
88ad361249fffff,ROCKLANDS,Aug 2020,92
88ad361207fffff,PHILIPPI,Aug 2020,92
88ad36122bfffff,PHILIPPI,Nov 2020,91
88ad36d553fffff,NOMZAMO,Mar 2020,91
88ad361231fffff,PHILIPPI,Jul 2020,91
88ad361113fffff,EUREKA ESTATE,Feb 2020,91
88ad361235fffff,PHILIPPI,Sep 2020,91
88ad36c6b3fffff,MFULENI,Dec 2020,90
88ad36898bfffff,TAFELSIG,Dec 2020,90
88ad36d425fffff,NOMZAMO,Jan 2020,90
88ad361307fffff,DELFT SOUTH,Nov 2020,90
88ad368d35fffff,LOTUS RIVER,Oct 2020,90
88ad361033fffff,BONTEHEUWEL,Aug 2020,90
88ad368989fffff,TAFELSIG,Jul 2020,90
88ad3689d5fffff,TAFELSIG,Mar 2020,90
88ad361051fffff,MANENBERG,Sep 2020,90
88ad3656d5fffff,GREENVILLE GARDEN CITY,Mar 2020,90
88ad368d0dfffff,PELIKAN PARK,Dec 2020,90
88ad36c49bfffff,WESBANK,Dec 2020,89
88ad368d31fffff,LOTUS RIVER,Oct 2020,89
88ad3610e7fffff,LANGA,Apr 2020,89
88ad361001fffff,GUGULETU,Nov 2020,88
88ad361133fffff,RAVENSMEAD,Feb 2020,88
88ad361b37fffff,WALLACEDENE,Sep 2020,88
88ad3612a9fffff,HANOVER PARK,Oct 2020,88
88ad36d55bfffff,LWANDLE,Jan 2020,88
88ad361113fffff,EUREKA ESTATE,Mar 2020,88
88ad36c49bfffff,WESBANK,Mar 2020,88
88ad361149fffff,LEIDEN,Nov 2020,88
88ad361033fffff,BONTEHEUWEL,Nov 2020,87
88ad368521fffff,GLENCAIRN,Nov 2020,87
88ad361127fffff,BELLVILLE SOUTH,Sep 2020,87
88ad3670e7fffff,SAXONSEA,Feb 2020,87
88ad36d553fffff,NOMZAMO,Feb 2020,87
88ad36d55bfffff,LWANDLE,Sep 2020,87
88ad3689adfffff,ILITHA PARK,Oct 2020,87
88ad361127fffff,BELLVILLE SOUTH,Aug 2020,87
88ad361041fffff,NYANGA,May 2020,87
88ad3611c7fffff,ELSIES RIVER,Jan 2020,87
88ad3610ddfffff,ATHLONE,Dec 2020,87
88ad36134dfffff,VICTORIA MXENGE,Jan 2020,87
88ad36c6a5fffff,EERSTERIVIER,Aug 2020,87
88ad36c493fffff,WESBANK,Jan 2020,87
88ad361027fffff,BISHOP LAVIS,Jul 2020,87
88ad361547fffff,WOODSTOCK,Jul 2020,87
88ad361027fffff,BISHOP LAVIS,Aug 2020,87
88ad361111fffff,UITSIG,Oct 2020,86
88ad368da7fffff,WYNBERG,Jan 2020,86
88ad3610ddfffff,ATHLONE,Nov 2020,86
88ad361307fffff,DELFT SOUTH,Oct 2020,86
88ad36c6b3fffff,MFULENI,Nov 2020,86
88ad36c6b3fffff,MFULENI,Aug 2020,86
88ad368989fffff,TAFELSIG,Mar 2020,86
88ad361207fffff,PHILIPPI,Nov 2020,86
88ad361143fffff,DELFT 1 & 2,Dec 2020,86
88ad36022dfffff,SUMMER GREENS,Jan 2020,85
88ad3670e7fffff,SAXONSEA,Nov 2020,85
88ad3610b3fffff,MAITLAND,Nov 2020,85
88ad361033fffff,BONTEHEUWEL,Jul 2020,85
88ad3610e3fffff,LANGA,Dec 2020,85
88ad36c6a5fffff,EERSTERIVIER,Feb 2020,85
88ad3689e1fffff,HARARE,Mar 2020,85
88ad361041fffff,NYANGA,Jun 2020,85
88ad36d425fffff,NOMZAMO,Dec 2020,85
88ad361769fffff,CLAREMONT,Oct 2020,85
88ad36c49bfffff,WESBANK,Jan 2020,85
88ad3689e1fffff,HARARE,Feb 2020,85
88ad361133fffff,RAVENSMEAD,Jul 2020,85
88ad361547fffff,WOODSTOCK,Jan 2020,84
88ad361145fffff,THE HAGUE,Nov 2020,84
88ad3670e1fffff,AVONDALE - WESFLEUR,Oct 2020,84
88ad361113fffff,EUREKA ESTATE,Jan 2020,84
88ad3670e1fffff,AVONDALE - WESFLEUR,Dec 2020,84
88ad360245fffff,WINDERMERE,Mar 2020,84
88ad3610e3fffff,LANGA,Jul 2020,84
88ad3670e9fffff,AVONDALE - WESFLEUR,Nov 2020,84
88ad36d425fffff,NOMZAMO,Sep 2020,84
88ad3685adfffff,SUNNYDALE,Sep 2020,84
88ad361165fffff,KALKFONTEIN,Sep 2020,84
88ad368989fffff,TAFELSIG,Sep 2020,84
88ad36d553fffff,NOMZAMO,Sep 2020,83
88ad368989fffff,TAFELSIG,Jun 2020,83
88ad36d463fffff,STRAND,Mar 2020,83
88ad361509fffff,WOODSTOCK,Aug 2020,83
88ad3611edfffff,RAVENSMEAD,Jan 2020,83
88ad36c6adfffff,EERSTERIVIER,Mar 2020,83
88ad3670e7fffff,SAXONSEA,Mar 2020,83
88ad36132bfffff,DELFT 9,Jan 2020,83
88ad36d425fffff,ASANDA,Feb 2020,83
88ad3610ddfffff,ATHLONE,Oct 2020,83
88ad361031fffff,BONTEHEUWEL,Jan 2020,83
88ad361057fffff,MANENBERG,Nov 2020,83
88ad3611c7fffff,ELSIES RIVER,Mar 2020,82
88ad368c2dfffff,LAVENDER HILL,Dec 2020,82
88ad361127fffff,BELLVILLE SOUTH,Oct 2020,82
88ad36103bfffff,BONTEHEUWEL,Feb 2020,82
88ad3611cdfffff,CLARKES ESTATE,Jan 2020,82
88ad361055fffff,GUGULETU,Jul 2020,82
88ad36c49bfffff,WESBANK,Sep 2020,82
88ad368989fffff,TAFELSIG,Oct 2020,82
88ad361235fffff,PHILIPPI,Nov 2020,82
88ad361057fffff,MANENBERG,Sep 2020,82
